level_0,level_1,1,2,3,4
"(0, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(5, 1)","(2, 1)",-815.657802068284,-814.6463024787845,-812.9254034444995,-814.5410037696317
"(5, 0)","(2, 1)",-811.8177538716943,-808.0604972025903,-812.5944993368314,-812.8601713480047
"(4, 2)","(2, 1)",-804.5091897687366,-808.6813828112882,-810.0514650005866,-955.3125
"(5, 2)","(2, 1)",-856.1395823169266,-816.2262083671221,-814.346036058038,-892.5
"(2, 1)","(2, 2)",-799.6021239084671,-798.5379831615865,-799.8948499662757,-887.25
"(1, 1)","(2, 2)",-796.4945840360223,-795.2059786748615,-795.853396174926,-796.811039670165
"(0, 1)","(2, 2)",-791.4809991915124,-795.1086033953363,-790.9975087536254,-792.6785447318174
"(3, 1)","(2, 2)",-798.6751872555556,-801.3733615370135,-799.2141383319369,-803.7094193201751
"(2, 0)","(2, 2)",-797.9875187643706,-800.0479819852364,-799.6363968803045,-800.9313764903932
"(1, 0)","(2, 2)",-794.8056842643422,-797.7724971694117,-796.0235941955548,-796.5017818446978
"(0, 0)","(2, 2)",-793.6345147122559,-794.6794839449017,-793.6276198285489,-790.7668608469965
"(3, 0)","(2, 2)",-799.8583987045536,-797.0546078496177,-800.543476224577,-799.5562106003856
"(2, 2)","(2, 3)",0.0,0.0,0.0,0.0
"(4, 2)","(2, 2)",-801.6889351638451,-802.4667811229101,-801.6554015862737,-889.875
"(4, 1)","(2, 2)",-801.2334223528376,-800.4331600855926,-800.5751000907895,-801.0480175552398
"(4, 0)","(2, 2)",-797.7868539349781,-800.0209205413909,-799.9206468981984,-799.3499939758177
"(3, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(2, 2)","(3, 2)",-802.3166651130425,-806.7208409621321,-802.8822140743213,-888.125
"(1, 2)","(3, 2)",-799.8530175817004,-799.3719180242562,-802.5697299411728,-799.2623956191677
"(0, 2)","(3, 2)",-800.3498919149104,-800.7684220972187,-797.3200688076179,-797.805722208484
"(0, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(3, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(5, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(4, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(1, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(1, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(2, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(4, 2)","(1, 2)",-796.0538931239096,-795.0560930580647,-797.8524457393985,-891.625
"(4, 1)","(1, 2)",-797.0938229881476,-796.517907449349,-794.8936162300975,-795.5677007507434
"(4, 0)","(1, 2)",-793.4943084756322,-793.8976031765444,-795.2137677227454,-797.1859827145945
"(1, 2)","(1, 4)",-664.6846437726665,-666.9423424182696,-665.1821192023191,-703.4130024650476
"(0, 2)","(1, 4)",-664.9598277027928,-661.9942189279952,-662.9977979201651,-662.0172019416661
"(2, 2)","(1, 4)",-667.5729712232744,-666.8768474643632,-664.3029885716435,-888.125
"(1, 1)","(1, 4)",-663.1814296983655,-663.303496934476,-662.91088500451,-665.953417080488
"(0, 1)","(1, 4)",-662.1626680146444,-663.7570174208963,-664.3071093204234,-664.0590249476109
"(2, 1)","(1, 4)",-661.0480894519931,-666.571474120103,-663.9576333894289,-663.21250471902
"(1, 0)","(1, 4)",-666.6590481172352,-662.4576903584195,-665.015334638957,-663.7032468685067
